,행정동,총 문화시설 수,총 인구수,1인당 문화시설 비율,1인당 문화시설 백분율
206,회현동2가,1,830.0,0.0012048192771084338,0.12048192771084339
207,필동3가,1,954.0,0.0010482180293501049,0.10482180293501049
208,휘경동,1,37876.0,2.640194318301827e-05,0.002640194318301827
209,서애로,1,,,
210,양평동4가,1,6687.0,0.00014954389113204725,0.014954389113204725
211,명륜3가,1,4609.0,0.00021696680407897592,0.021696680407897594
212,홍파동,1,1587.0,0.000630119722747322,0.0630119722747322
213,봉래동2가,1,,,
214,내발산동,1,44623.0,2.2409967953745828e-05,0.002240996795374583
215,가락동,1,83866.0,1.1923783177926693e-05,0.0011923783177926694
216,길음동,1,54096.0,1.8485655131617863e-05,0.0018485655131617862
217,문래동2가,1,1097.0,0.0009115770282588879,0.09115770282588878
218,충무로1가,1,16.0,0.0625,6.25
219,송월동,1,905.0,0.0011049723756906078,0.11049723756906078
220,신창동,1,2279.0,0.00043878894251864854,0.04387889425186486
221,당산동,1,8221.0,0.0001216397031991242,0.012163970319912419
222,을지로3가,1,220.0,0.004545454545454545,0.45454545454545453
223,영등포동4가,1,1350.0,0.0007407407407407407,0.07407407407407407
224,을지로6가,1,156.0,0.00641025641025641,0.641025641025641
225,재동,1,85.0,0.011764705882352941,1.1764705882352942
226,삼전동,1,29075.0,3.4393809114359416e-05,0.0034393809114359416
227,회기동,1,10394.0,9.620935154897056e-05,0.009620935154897056
228,태평로2가,1,49.0,0.02040816326530612,2.0408163265306123
229,염창동,1,41285.0,2.422187235073271e-05,0.002422187235073271
230,동자동,1,3477.0,0.0002876042565429968,0.028760425654299683
231,신원동,1,7940.0,0.00012594458438287153,0.012594458438287152
232,만리동2가,1,4467.0,0.00022386389075442132,0.02238638907544213
233,팔판동,1,272.0,0.003676470588235294,0.3676470588235294
234,연지동,1,875.0,0.001142857142857143,0.1142857142857143
235,장충동1가,1,1704.0,0.0005868544600938967,0.05868544600938967
236,운니동,1,169.0,0.005917159763313609,0.591715976331361
237,대림동,1,47046.0,2.1255792203375418e-05,0.002125579220337542
238,영동대로,1,,,
239,마천동,1,35566.0,2.8116740707417195e-05,0.0028116740707417195
240,염곡동,1,998.0,0.001002004008016032,0.1002004008016032
241,용산동4가,1,2.0,0.5,50.0
242,필운동,1,981.0,0.0010193679918450561,0.10193679918450561
243,금하로,1,,,
244,가양동,1,43227.0,2.313368959215305e-05,0.002313368959215305
245,대현동,1,6760.0,0.00014792899408284024,0.014792899408284025
246,영등포동,1,13734.0,7.2811999417504e-05,0.0072811999417504
247,수서동,1,21861.0,4.574356159370569e-05,0.004574356159370569
248,남현동,1,17687.0,5.653870074065698e-05,0.005653870074065698
249,대흥동,1,16364.0,6.11097531165974e-05,0.006110975311659741
250,문배동,1,5681.0,0.0001760253476500616,0.017602534765006162
251,증산동,1,18258.0,5.477051155657794e-05,0.005477051155657794
252,삼선동2가,1,5618.0,0.000177999288002848,0.0177999288002848
253,누하동,1,780.0,0.001282051282051282,0.1282051282051282
254,문래동3가,1,13510.0,7.401924500370096e-05,0.007401924500370096
255,이촌동,1,32801.0,3.048687540014024e-05,0.003048687540014024
256,공평동,1,1.0,1.0,100.0
257,천호2동,1,,,
258,오금동,1,37413.0,2.6728677197765484e-05,0.0026728677197765485
259,성수동2가,1,24652.0,4.056466006814863e-05,0.004056466006814863
260,도화동,1,21429.0,4.6665733351999625e-05,0.004666573335199963
261,수송동,1,239.0,0.0041841004184100415,0.41841004184100417
262,마들로11길,1,,,
263,한강로2가,1,7255.0,0.00013783597518952445,0.013783597518952445
264,낙원동,1,848.0,0.0011792452830188679,0.1179245283018868
265,동선동1가,1,1193.0,0.0008382229673093043,0.08382229673093043
266,안암동5가,1,4033.0,0.0002479543763947434,0.024795437639474338
267,영등포동7가,1,9893.0,0.00010108157282927322,0.010108157282927322
268,저동1가,1,14.0,0.07142857142857142,7.142857142857142
269,원효로4가,1,3699.0,0.0002703433360367667,0.027034333603676672
270,초동,1,76.0,0.013157894736842105,1.3157894736842104
271,남산동1가,1,135.0,0.007407407407407408,0.7407407407407408
272,소공동,1,1.0,1.0,100.0
273,문래동1가,1,255.0,0.00392156862745098,0.39215686274509803
274,궁동,1,13963.0,7.161784716751415e-05,0.007161784716751414
275,내자동,1,83.0,0.012048192771084338,1.2048192771084338
276,중학동,1,4.0,0.25,25.0
277,황학동,1,12697.0,7.875876191226274e-05,0.007875876191226275
278,신수동,1,15386.0,6.499415052645263e-05,0.006499415052645263
279,영등포동5가,1,1802.0,0.0005549389567147614,0.05549389567147614
280,구산동,1,31453.0,3.179346962133978e-05,0.003179346962133978
281,하계동,1,47450.0,2.107481559536354e-05,0.002107481559536354
282,신공덕동,1,12401.0,8.063865817272801e-05,0.008063865817272801
283,장사동,1,71.0,0.014084507042253521,1.4084507042253522
284,원효로1가,1,6857.0,0.00014583637159107482,0.014583637159107482
285,권농동,1,133.0,0.007518796992481203,0.7518796992481203
286,율현동,1,3807.0,0.0002626740215392698,0.026267402153926978
287,남대문로3가,1,10.0,0.1,10.0
288,행촌동,1,4196.0,0.00023832221163012392,0.023832221163012392
289,서소문동,1,21.0,0.047619047619047616,4.761904761904762
290,수색동,1,20441.0,4.892128565138692e-05,0.004892128565138692
291,용산동1가,1,,,
292,익선동,1,1009.0,0.0009910802775024777,0.09910802775024777
293,사근동,1,6694.0,0.00014938751120406333,0.014938751120406333
294,아현동,1,28150.0,3.552397868561279e-05,0.003552397868561279
